Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2020,02,27,02:36:19,0.5518,121.8316,91,4.7,"28km E of Lemito, Indonesia",1582770979
2020,02,25,13:39:40,-2.373,121.0103,10,4.2,"25km ENE of Wonorejo, Indonesia",1582637980
2020,02,23,03:39:52,-0.2256,125.2078,17.8,4.9,"138km SE of Modayag, Indonesia",1582429192
2020,02,23,02:08:04,-0.1918,125.189,21.2,5.3,"134km SE of Lolayan, Indonesia",1582423684
2020,02,19,09:47:20,-0.0968,122.9857,122,4.6,"58km SSW of Bilungala, Indonesia",1582105640
2020,02,14,17:03:41,-0.0279,123.1908,156.1,4.2,"45km S of Bilungala, Indonesia",1581699821
2020,02,13,18:54:18,-1.2331,120.1908,10,4.1,"51km SE of Palu, Indonesia",1581620058
2020,02,12,10:04:26,-1.937,122.5758,35,4.3,"111km SSW of Luwuk, Indonesia",1581501866
2020,02,12,08:41:20,0.8509,124.8406,119.4,4,"42km E of Tompasobaru, Indonesia",1581496880
2020,02,11,15:13:27,0.1378,123.5999,147.2,4.2,"50km WSW of Molibagu, Indonesia",1581434007
2020,02,11,03:04:56,0.0863,123.6923,124.5,4.2,"46km SW of Molibagu, Indonesia",1581390296
2020,02,04,23:38:11,0.0844,123.426,143.7,4.4,"40km SE of Bilungala, Indonesia",1580859491
2020,02,04,10:53:01,0.8172,119.4955,10,4.4,"86km W of Ogotua, Indonesia",1580813581
2020,02,03,12:12:38,-0.2249,125.2118,35,4.9,"138km SE of Modayag, Indonesia",1580731958
2020,02,01,22:18:50,0.5935,120.6428,68.9,4.7,"24km SSE of Tinabogan, Indonesia",1580595530
2020,01,25,03:30:55,-0.1007,121.9569,274,4.2,"81km SSW of Tilamuta, Indonesia",1579923055
2020,01,23,08:25:58,-0.0424,123.0684,102.2,4.4,"49km SSW of Bilungala, Indonesia",1579767958
2020,01,20,21:12:34,0.327,122.3478,172.5,4.2,"22km S of Tilamuta, Indonesia",1579554754
2020,01,19,16:58:20,-0.1042,123.8025,121.7,6.1,"57km SSW of Molibagu, Indonesia",1579453100
2020,01,19,12:10:49,0.0114,123.2676,142.6,4.4,"41km S of Bilungala, Indonesia",1579435849
2020,01,18,03:31:18,0.3013,124.9058,79.1,4.5,"73km SE of Modayag, Indonesia",1579318278
2020,01,11,12:30:22,-0.0522,122.8892,146.2,4.5,"60km SW of Bilungala, Indonesia",1578745822
2020,01,07,20:20:14,2.1799,124.1572,294.4,4.4,"108km NW of Manado, Indonesia",1578428414
2020,01,03,03:09:31,-0.12,125.0153,60.4,4.4,"115km SE of Lolayan, Indonesia",1578020971
2020,01,02,11:25:04,-5.7527,124.976,10,5.6,"264km E of Baubau, Indonesia",1577964304
2020,01,01,12:28:34,0.1936,121.5572,141.3,4.1,"38km S of Lemito, Indonesia",1577881714
2019,12,31,09:50:41,0.0527,123.5328,129.1,4.3,"50km SE of Bilungala, Indonesia",1577785841
2019,12,31,05:18:24,1.1925,120.7313,34.2,4.8,"19km NNW of Tolitoli, Indonesia",1577769504
2019,12,29,04:55:03,-0.0873,123.0675,111.5,4.3,"54km SSW of Bilungala, Indonesia",1577595303
2019,12,25,00:56:45,-1.5272,120.1421,10,4.6,"58km WSW of Kasiguncu, Indonesia",1577235405
2019,12,23,15:36:16,0.0683,123.0159,160.2,4.2,"41km SSW of Bilungala, Indonesia",1577115376
2019,12,20,14:34:05,-2.7388,122.3616,10,4.3,"128km NNE of Unaaha, Indonesia",1576852445
2019,12,18,11:42:43,-0.9076,121.44,10,3.7,"93km NE of Poso, Indonesia",1576669363
2019,12,16,04:13:23,0.045,123.9303,115.6,4.5,"38km S of Molibagu, Indonesia",1576469603
2019,12,11,17:48:30,-0.1204,125.2274,31.1,5,"131km SE of Modayag, Indonesia",1576086510
2019,12,11,02:13:12,-0.2306,124.469,69.2,5,"87km SE of Molibagu, Indonesia",1576030392
2019,12,10,00:16:50,0.1251,121.6945,179.5,4.1,"48km SSE of Lemito, Indonesia",1575937010
2019,12,03,11:24:24,0.5977,122.2725,93.7,5,"11km NW of Tilamuta, Indonesia",1575372264
2019,12,02,13:41:14,0.6393,123.5768,242.2,4.3,"27km S of Pimpi, Indonesia",1575294074
2019,11,28,16:13:39,-0.1757,124.5698,49.4,5.1,"90km SE of Molibagu, Indonesia",1574957619
2019,11,26,18:45:13,-6.1264,124.1552,622.6,4.2,"186km ESE of Baubau, Indonesia",1574793913
2019,11,24,14:48:06,-0.0811,124.3058,64.8,4.9,"62km SE of Molibagu, Indonesia",1574606886
2019,11,23,08:22:20,-2.6142,121.9563,10,4.1,"95km E of Malili, Indonesia",1574497340
2019,11,23,07:50:38,-2.6684,122.0326,10,4.4,"104km E of Malili, Indonesia",1574495438
2019,11,21,18:21:43,-0.003,125.3163,35,4.1,"130km SE of Modayag, Indonesia",1574360503
2019,11,20,04:37:26,0.0264,124.7113,35,4.1,"81km SSE of Lolayan, Indonesia",1574224646
2019,11,18,13:13:58,0.3997,122.0518,193,4.7,"35km WSW of Tilamuta, Indonesia",1574082838
2019,11,16,18:34:50,0.4667,123.899,159.2,4.7,"12km NW of Molibagu, Indonesia",1573929290
